Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	189	-125529.9	-138083.9	-142264.3	0.020	0.016	0.659	0.058
2	153	-124508.2	-137690.1	-142161.5	0.022	0.016	0.666	0.050
3	157	-124788.2	-137736.0	-142151.5	0.010	0.016	0.662	0.067
4	171	-124990.2	-137760.5	-142091.8	0.023	0.036	0.670	0.054
5	195	-125394.1	-137851.4	-142036.1	0.021	0.020	0.663	0.073
6	173	-125412.2	-137918.7	-142090.5	0.013	0.044	0.661	0.081
7	140	-124853.3	-137766.3	-142263.5	0.012	0.020	0.664	0.047
8	226	-125231.1	-137830.3	-142337.4	0.014	0.017	0.661	0.038
9	139	-125033.6	-137902.6	-141928.5	0.016	0.025	0.668	0.123
10	138	-125555.6	-138109.1	-142283.2	0.027	0.008	0.663	0.088
11	177	-125256.8	-137884.6	-142023.1	0.018	0.031	0.665	0.076
12	172	-125151.2	-137739.6	-142212.4	0.019	0.028	0.667	0.041
13	213	-125586.2	-138137.4	-142383.1	0.014	0.023	0.663	0.062
14	172	-125187.7	-137852.3	-142105.7	0.012	0.017	0.660	0.054
15	127	-124764.4	-138095.8	-142201.5	0.018	0.017	0.660	0.092
16	135	-125409.1	-138014.1	-142033.6	0.007	0.012	0.663	0.116
17	147	-125470.3	-138122.8	-142170.8	0.036	0.012	0.660	0.100
18	134	-125535.5	-138247.9	-142431.1	0.021	0.040	0.663	0.089
19	158	-125508.9	-138062.3	-142182.1	0.027	0.027	0.663	0.074
20	141	-124937.3	-138077.4	-142532.5	0.012	0.015	0.666	0.045
21	116	-124864.6	-137871.5	-142027.1	0.007	0.017	0.667	0.080
22	146	-124922.8	-137793.8	-141936.7	0.013	0.011	0.660	0.089
23	142	-125515.5	-138219.3	-142376.8	0.013	0.043	0.657	0.091
24	162	-125307.8	-137884.8	-142055.4	0.022	0.024	0.663	0.101
25	116	-124662.6	-137982.9	-142249.9	0.016	0.029	0.667	0.073
26	158	-125295.7	-138012.8	-142369.6	0.006	0.018	0.664	0.063
27	150	-124821.7	-137680.5	-141970.7	0.027	0.014	0.668	0.077
28	140	-125275.1	-138044.0	-142186.2	0.023	0.019	0.658	0.097
29	139	-124989.7	-137685.9	-141848.5	0.011	0.021	0.663	0.070
30	158	-124774.5	-137880.8	-142146.3	0.024	0.013	0.667	0.085
