Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	1272	-25411.8	-27679.1	-28498.6	0.011	0.047	0.665	0.073
2	1401	-24760.9	-27392.4	-28281.1	0.024	0.027	0.662	0.059
3	1421	-24987.5	-27613.8	-28543.7	0.009	0.046	0.666	0.084
4	1411	-24902.2	-27523.8	-28498.4	0.019	0.030	0.653	0.088
5	1407	-25346.1	-27620.0	-28450.3	0.026	0.044	0.655	0.069
6	1383	-25332.8	-27673.3	-28422.6	0.021	0.041	0.656	0.106
7	1384	-25445.4	-27730.6	-28573.3	0.045	0.043	0.663	0.074
8	1402	-24709.6	-27347.9	-28408.5	0.009	0.040	0.656	0.166
9	1389	-25294.3	-27669.3	-28439.3	0.026	0.021	0.662	0.099
10	1391	-25218.8	-27647.5	-28435.9	0.019	0.044	0.663	0.093
11	1397	-25096.9	-27561.1	-28410.2	0.028	0.023	0.657	0.071
12	1375	-25161.3	-27607.8	-28446.4	0.038	0.036	0.647	0.053
13	1403	-25181.9	-27651.4	-28487.0	0.046	0.024	0.651	0.066
14	1395	-25103.6	-27585.9	-28480.6	0.039	0.040	0.653	0.052
15	1401	-25156.2	-27541.6	-28387.3	0.044	0.026	0.642	0.056
16	1378	-25059.0	-27652.8	-28485.1	0.028	0.037	0.652	0.063
17	1409	-25199.4	-27851.9	-28658.6	0.050	0.043	0.660	0.092
18	1085	-25374.8	-27677.8	-28469.4	0.030	0.031	0.652	0.092
19	1072	-24934.4	-27632.6	-28470.6	0.028	0.025	0.661	0.054
20	1103	-25025.0	-27566.7	-28444.0	0.038	0.020	0.667	0.064
21	1077	-25145.0	-27738.7	-28598.2	0.021	0.060	0.648	0.096
22	1075	-24963.9	-27623.3	-28470.0	0.024	0.065	0.656	0.038
23	1071	-25163.9	-27646.4	-28532.5	0.022	0.025	0.648	0.055
24	1086	-25127.4	-27472.4	-28281.2	0.062	0.040	0.659	0.081
25	1104	-25040.8	-27557.8	-28430.4	0.014	0.030	0.655	0.073
26	1066	-24961.4	-27387.3	-28227.0	0.044	0.069	0.660	0.097
27	1101	-25060.6	-27598.0	-28446.7	0.002	0.035	0.669	0.059
28	1078	-24964.8	-27609.6	-28547.7	0.035	0.032	0.644	0.060
29	1087	-24961.9	-27441.0	-28321.3	0.020	0.032	0.661	0.053
30	1094	-24845.2	-27583.4	-28491.0	0.060	0.018	0.662	0.067
