Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	2380	-25338.3	-27679.4	-28499.4	0.011	0.047	0.666	0.077
2	2675	-24796.6	-27393.8	-28280.6	0.024	0.027	0.665	0.074
3	2793	-25022.9	-27614.6	-28544.6	0.009	0.043	0.668	0.091
4	2312	-24856.3	-27523.9	-28501.1	0.019	0.030	0.653	0.093
5	3223	-25293.4	-27622.2	-28451.1	0.025	0.044	0.658	0.070
6	2743	-25288.6	-27675.4	-28422.5	0.021	0.042	0.658	0.102
7	2555	-25434.6	-27730.3	-28572.8	0.045	0.044	0.666	0.079
8	3493	-24707.8	-27353.3	-28408.0	0.009	0.040	0.660	0.178
9	2487	-25255.4	-27665.0	-28440.8	0.026	0.022	0.663	0.100
10	4449	-25123.0	-27645.2	-28436.6	0.019	0.042	0.665	0.095
11	2825	-25058.1	-27559.2	-28411.8	0.028	0.022	0.659	0.076
12	3089	-25219.6	-27601.1	-28447.0	0.039	0.035	0.653	0.069
13	2512	-25201.4	-27647.8	-28486.7	0.047	0.024	0.652	0.072
14	2936	-25144.2	-27587.0	-28480.5	0.040	0.039	0.656	0.068
15	3089	-25143.8	-27538.5	-28386.4	0.044	0.026	0.646	0.065
16	3854	-25124.2	-27652.1	-28483.9	0.028	0.039	0.657	0.078
17	2825	-25201.9	-27852.7	-28659.4	0.049	0.043	0.662	0.101
18	2802	-25286.2	-27675.3	-28470.7	0.031	0.027	0.653	0.087
19	2608	-24820.4	-27634.7	-28471.9	0.028	0.024	0.663	0.060
20	2366	-25011.4	-27566.0	-28444.0	0.037	0.019	0.670	0.073
21	2924	-25126.8	-27738.7	-28598.5	0.021	0.060	0.651	0.098
22	1430	-24902.4	-27621.9	-28471.7	0.023	0.065	0.658	0.050
23	1755	-25201.8	-27653.2	-28531.4	0.022	0.028	0.654	0.072
24	1760	-25097.9	-27469.8	-28281.3	0.062	0.040	0.662	0.084
25	1549	-25050.3	-27554.7	-28431.3	0.014	0.033	0.657	0.078
26	1395	-24828.8	-27387.3	-28229.7	0.048	0.070	0.662	0.093
27	1527	-25026.3	-27597.0	-28448.0	0.003	0.033	0.670	0.059
28	2109	-24916.2	-27609.4	-28549.1	0.034	0.029	0.646	0.065
29	2098	-24878.7	-27442.8	-28323.5	0.020	0.036	0.662	0.061
30	1547	-24803.4	-27579.0	-28491.5	0.060	0.018	0.664	0.074
