Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	120	-25093.6	-27686.7	-28497.5	0.009	0.055	0.668	0.096
2	132	-24640.4	-27412.8	-28283.8	0.024	0.031	0.665	0.077
3	151	-24834.9	-27630.5	-28542.3	0.013	0.049	0.668	0.089
4	190	-24768.1	-27540.1	-28495.7	0.020	0.032	0.655	0.047
5	146	-25040.7	-27629.2	-28458.9	0.025	0.055	0.657	0.084
6	160	-25169.1	-27690.3	-28419.7	0.022	0.041	0.658	0.148
7	117	-25133.2	-27756.6	-28576.2	0.047	0.056	0.665	0.094
8	138	-24515.8	-27369.9	-28413.2	0.009	0.040	0.659	0.117
9	176	-25109.6	-27677.0	-28437.7	0.027	0.019	0.664	0.139
10	137	-24978.7	-27665.0	-28436.1	0.018	0.043	0.667	0.140
11	113	-24874.7	-27582.0	-28408.5	0.027	0.030	0.659	0.085
12	158	-24957.4	-27622.4	-28446.5	0.034	0.052	0.648	0.075
13	123	-24971.6	-27666.7	-28486.9	0.051	0.022	0.652	0.085
14	152	-24928.1	-27600.5	-28479.8	0.039	0.046	0.658	0.083
15	125	-24943.3	-27554.4	-28389.3	0.051	0.023	0.644	0.092
16	125	-24934.8	-27655.6	-28485.3	0.032	0.040	0.656	0.109
17	125	-25073.1	-27860.7	-28657.9	0.056	0.042	0.662	0.119
18	131	-25037.4	-27691.7	-28470.2	0.036	0.030	0.654	0.104
19	146	-24857.8	-27649.1	-28474.0	0.036	0.020	0.665	0.105
20	149	-24865.6	-27591.7	-28447.9	0.028	0.020	0.671	0.082
21	92	-24972.2	-27752.5	-28596.8	0.023	0.064	0.654	0.099
22	174	-24851.4	-27634.5	-28466.9	0.024	0.057	0.660	0.073
23	132	-24980.1	-27669.1	-28527.3	0.027	0.030	0.653	0.087
24	170	-24897.5	-27487.3	-28287.9	0.065	0.046	0.660	0.099
25	163	-24880.2	-27567.8	-28431.8	0.021	0.030	0.659	0.091
26	124	-24735.6	-27403.9	-28220.3	0.044	0.061	0.663	0.131
27	127	-24866.6	-27628.1	-28451.4	0.008	0.030	0.674	0.088
28	112	-24800.5	-27609.4	-28551.6	0.026	0.034	0.647	0.058
29	113	-24729.2	-27453.6	-28320.3	0.015	0.030	0.667	0.073
30	157	-24779.4	-27588.8	-28486.7	0.055	0.036	0.665	0.074
