Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	269	-24968.1	-27688.3	-28512.2	0.015	0.034	0.667	0.080
2	173	-24511.9	-27414.3	-28284.1	0.022	0.032	0.664	0.061
3	219	-24703.8	-27630.3	-28544.1	0.021	0.051	0.670	0.086
4	278	-24624.7	-27541.2	-28500.3	0.027	0.030	0.656	0.086
5	210	-24921.1	-27631.5	-28453.2	0.030	0.032	0.659	0.086
6	209	-24980.4	-27692.4	-28424.0	0.027	0.038	0.658	0.110
7	199	-25009.0	-27758.2	-28577.0	0.050	0.039	0.664	0.088
8	175	-24297.7	-27376.3	-28410.3	0.013	0.040	0.662	0.175
9	183	-24932.1	-27681.6	-28440.5	0.033	0.019	0.665	0.114
10	203	-24859.3	-27667.5	-28440.7	0.026	0.034	0.666	0.109
11	182	-24739.9	-27583.9	-28413.3	0.028	0.031	0.662	0.071
12	240	-24788.3	-27624.9	-28453.2	0.053	0.038	0.651	0.068
13	201	-24891.7	-27670.5	-28487.7	0.049	0.030	0.655	0.083
14	214	-24807.5	-27605.1	-28484.3	0.030	0.044	0.659	0.079
15	214	-24792.5	-27558.4	-28389.5	0.051	0.020	0.646	0.075
16	203	-24796.2	-27657.8	-28485.4	0.030	0.050	0.657	0.085
17	230	-24925.4	-27863.9	-28659.9	0.045	0.047	0.663	0.110
18	211	-25009.0	-27693.2	-28476.4	0.032	0.024	0.655	0.112
19	258	-24687.3	-27648.7	-28473.2	0.032	0.023	0.665	0.078
20	211	-24740.5	-27595.9	-28444.5	0.035	0.026	0.670	0.085
21	172	-24890.2	-27755.6	-28600.7	0.029	0.052	0.654	0.108
22	156	-24702.0	-27638.2	-28475.8	0.032	0.068	0.662	0.074
23	238	-24822.9	-27670.5	-28535.0	0.022	0.022	0.652	0.072
24	191	-24779.3	-27492.0	-28284.4	0.062	0.043	0.660	0.110
25	220	-24735.2	-27569.9	-28430.3	0.012	0.034	0.659	0.079
26	185	-24559.3	-27405.5	-28238.3	0.057	0.085	0.665	0.109
27	298	-24760.6	-27628.4	-28444.6	0.006	0.047	0.672	0.073
28	258	-24702.7	-27610.5	-28546.9	0.028	0.049	0.649	0.065
29	208	-24633.2	-27456.3	-28322.9	0.024	0.040	0.667	0.078
30	266	-24623.5	-27591.2	-28492.4	0.064	0.029	0.670	0.085
