Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	202	-24960.6	-27687.9	-28511.5	0.019	0.039	0.666	0.079
2	309	-24536.0	-27412.0	-28285.9	0.032	0.037	0.663	0.066
3	308	-24724.5	-27628.9	-28541.0	0.009	0.054	0.667	0.080
4	197	-24576.3	-27542.2	-28508.6	0.018	0.038	0.656	0.089
5	239	-24939.6	-27630.6	-28450.2	0.032	0.032	0.655	0.062
6	305	-25001.5	-27691.3	-28421.8	0.027	0.038	0.656	0.115
7	316	-25043.6	-27754.9	-28575.2	0.041	0.043	0.662	0.070
8	256	-24391.8	-27373.5	-28413.0	0.018	0.042	0.659	0.145
9	297	-24935.5	-27680.2	-28445.2	0.022	0.029	0.664	0.123
10	195	-24843.1	-27667.3	-28439.4	0.021	0.045	0.665	0.108
11	249	-24747.4	-27583.1	-28415.5	0.019	0.022	0.659	0.076
12	283	-24800.4	-27624.4	-28447.3	0.042	0.042	0.651	0.074
13	258	-24905.0	-27668.8	-28493.9	0.048	0.022	0.652	0.085
14	282	-24818.4	-27602.9	-28486.1	0.035	0.042	0.655	0.061
15	315	-24841.2	-27554.1	-28389.8	0.049	0.023	0.644	0.081
16	226	-24798.9	-27656.3	-28486.2	0.030	0.035	0.655	0.086
17	286	-24961.0	-27861.3	-28660.0	0.058	0.035	0.662	0.098
18	253	-24966.1	-27693.0	-28470.7	0.030	0.028	0.653	0.101
19	189	-24670.4	-27650.4	-28473.4	0.030	0.021	0.664	0.078
20	270	-24735.9	-27594.0	-28450.3	0.035	0.029	0.670	0.078
21	216	-24873.0	-27755.1	-28604.0	0.024	0.062	0.651	0.105
22	187	-24676.3	-27637.7	-28474.1	0.011	0.061	0.661	0.065
23	288	-24844.9	-27668.3	-28534.9	0.017	0.020	0.648	0.060
24	257	-24792.7	-27490.9	-28286.9	0.079	0.040	0.658	0.101
25	285	-24734.1	-27569.7	-28439.9	0.009	0.047	0.658	0.071
26	261	-24577.2	-27404.2	-28225.8	0.041	0.066	0.662	0.101
27	310	-24767.9	-27626.8	-28449.5	0.017	0.043	0.671	0.065
28	267	-24686.1	-27610.6	-28551.2	0.035	0.046	0.647	0.058
29	314	-24630.5	-27455.0	-28324.6	0.018	0.040	0.663	0.068
30	257	-24593.8	-27590.8	-28489.5	0.054	0.022	0.667	0.086
