Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	178	-24926.0	-27688.8	-28504.3	0.014	0.041	0.667	0.079
2	161	-24511.5	-27413.7	-28283.9	0.027	0.035	0.664	0.070
3	217	-24715.6	-27630.2	-28541.2	0.012	0.060	0.666	0.079
4	215	-24597.7	-27541.0	-28501.7	0.021	0.024	0.655	0.082
5	194	-24913.0	-27631.8	-28454.4	0.028	0.036	0.654	0.085
6	200	-24977.6	-27692.3	-28428.1	0.026	0.049	0.657	0.116
7	200	-24991.1	-27758.3	-28577.0	0.038	0.040	0.664	0.081
8	173	-24338.8	-27374.6	-28408.8	0.015	0.049	0.659	0.173
9	210	-24936.8	-27679.8	-28440.8	0.028	0.020	0.663	0.108
10	146	-24844.5	-27668.3	-28439.5	0.014	0.058	0.665	0.118
11	187	-24733.3	-27584.2	-28414.5	0.031	0.026	0.659	0.079
12	237	-24802.5	-27623.4	-28448.5	0.033	0.050	0.648	0.061
13	209	-24875.6	-27669.3	-28499.5	0.045	0.030	0.653	0.070
14	201	-24776.5	-27604.8	-28483.4	0.043	0.045	0.657	0.068
15	181	-24797.1	-27556.4	-28392.3	0.058	0.022	0.644	0.070
16	181	-24770.3	-27657.3	-28496.2	0.030	0.036	0.657	0.083
17	212	-24963.6	-27861.8	-28656.9	0.054	0.040	0.662	0.098
18	191	-24964.1	-27693.8	-28469.2	0.021	0.028	0.653	0.100
19	174	-24674.9	-27651.2	-28470.1	0.034	0.017	0.666	0.097
20	127	-24660.8	-27597.7	-28445.7	0.049	0.023	0.670	0.078
21	180	-24825.0	-27755.6	-28597.9	0.030	0.067	0.651	0.096
22	162	-24699.6	-27637.7	-28470.6	0.020	0.063	0.661	0.068
23	170	-24806.4	-27669.7	-28539.9	0.017	0.019	0.650	0.064
24	159	-24726.7	-27492.4	-28286.9	0.065	0.049	0.660	0.080
25	176	-24744.8	-27570.2	-28432.8	0.010	0.025	0.658	0.074
26	203	-24563.9	-27404.1	-28235.0	0.056	0.073	0.662	0.100
27	198	-24758.4	-27627.6	-28452.5	0.008	0.030	0.670	0.062
28	162	-24629.9	-27611.0	-28550.6	0.037	0.026	0.649	0.070
29	198	-24589.6	-27455.6	-28326.8	0.017	0.041	0.663	0.067
30	158	-24595.1	-27591.1	-28496.6	0.065	0.016	0.666	0.079
