Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	155	-24929.1	-27690.1	-28509.8	0.024	0.036	0.666	0.082
2	159	-24478.6	-27413.0	-28280.5	0.028	0.023	0.664	0.065
3	128	-24695.7	-27631.5	-28547.7	0.018	0.053	0.666	0.077
4	174	-24585.3	-27543.2	-28500.3	0.030	0.026	0.655	0.071
5	185	-24866.6	-27631.2	-28459.5	0.021	0.056	0.656	0.061
6	132	-24930.8	-27695.2	-28424.4	0.013	0.036	0.657	0.138
7	164	-24983.8	-27757.7	-28578.6	0.045	0.040	0.664	0.079
8	135	-24313.6	-27374.7	-28410.7	0.007	0.049	0.660	0.159
9	172	-24912.7	-27681.9	-28441.7	0.010	0.018	0.664	0.106
10	141	-24850.9	-27667.8	-28438.2	0.026	0.045	0.665	0.125
11	156	-24725.1	-27584.2	-28413.0	0.025	0.032	0.660	0.082
12	154	-24765.4	-27625.7	-28453.0	0.047	0.036	0.650	0.066
13	156	-24859.2	-27670.1	-28491.6	0.048	0.035	0.653	0.078
14	152	-24745.4	-27605.9	-28481.8	0.040	0.041	0.656	0.071
15	152	-24799.8	-27556.1	-28390.0	0.054	0.027	0.645	0.085
16	172	-24743.0	-27657.6	-28490.0	0.032	0.052	0.656	0.082
17	103	-24933.1	-27864.8	-28662.2	0.048	0.032	0.663	0.122
18	198	-24952.9	-27693.4	-28479.7	0.037	0.014	0.653	0.088
19	138	-24653.9	-27651.4	-28480.1	0.029	0.030	0.666	0.098
20	151	-24698.6	-27595.9	-28455.7	0.029	0.041	0.671	0.079
21	164	-24845.5	-27756.0	-28596.7	0.025	0.068	0.651	0.112
22	167	-24672.5	-27636.7	-28474.3	0.020	0.066	0.660	0.068
23	113	-24775.7	-27672.5	-28533.8	0.017	0.026	0.651	0.078
24	145	-24747.4	-27491.2	-28282.6	0.068	0.040	0.660	0.087
25	129	-24674.6	-27573.6	-28430.9	0.022	0.029	0.661	0.089
26	126	-24578.8	-27405.1	-28233.2	0.057	0.071	0.661	0.108
27	104	-24738.8	-27630.4	-28452.3	0.009	0.038	0.673	0.074
28	124	-24629.3	-27612.9	-28553.2	0.032	0.024	0.649	0.070
29	134	-24552.6	-27456.9	-28327.5	0.029	0.042	0.664	0.070
30	139	-24594.5	-27591.2	-28492.3	0.054	0.026	0.667	0.077
