Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	106	-25024.7	-27686.2	-28499.6	0.024	0.053	0.664	0.083
2	108	-24558.3	-27412.4	-28284.6	0.030	0.032	0.664	0.075
3	131	-24838.9	-27628.1	-28545.9	0.021	0.048	0.666	0.074
4	121	-24684.9	-27540.7	-28500.7	0.024	0.029	0.655	0.053
5	150	-25014.0	-27628.3	-28457.1	0.026	0.053	0.655	0.080
6	124	-25054.4	-27691.1	-28423.7	0.018	0.036	0.657	0.143
7	192	-25163.4	-27753.0	-28573.6	0.038	0.049	0.663	0.088
8	198	-24504.6	-27370.2	-28411.2	0.017	0.050	0.656	0.121
9	130	-25026.8	-27679.1	-28441.8	0.030	0.008	0.663	0.128
10	148	-24970.1	-27665.4	-28438.8	0.018	0.053	0.664	0.133
11	180	-24869.6	-27581.9	-28409.9	0.033	0.025	0.658	0.103
12	162	-24913.3	-27622.2	-28445.7	0.032	0.052	0.648	0.082
13	127	-24964.0	-27666.3	-28489.3	0.050	0.031	0.653	0.088
14	146	-24895.6	-27601.2	-28482.0	0.039	0.040	0.653	0.066
15	154	-24948.7	-27551.9	-28391.2	0.045	0.018	0.643	0.080
16	173	-24897.8	-27654.9	-28485.2	0.032	0.041	0.654	0.090
17	129	-25069.9	-27861.1	-28664.2	0.043	0.036	0.660	0.130
18	137	-25065.7	-27691.0	-28476.2	0.033	0.021	0.654	0.127
19	122	-24785.0	-27648.3	-28474.8	0.030	0.025	0.664	0.080
20	128	-24813.1	-27592.0	-28439.2	0.040	0.010	0.669	0.071
21	99	-24927.9	-27752.8	-28599.6	0.012	0.059	0.652	0.103
22	117	-24834.2	-27633.7	-28463.3	0.025	0.048	0.660	0.060
23	122	-24907.6	-27668.3	-28537.4	0.021	0.027	0.649	0.069
24	143	-24856.4	-27487.7	-28287.1	0.064	0.047	0.658	0.094
25	137	-24815.1	-27568.2	-28440.3	0.012	0.046	0.657	0.077
26	146	-24704.4	-27401.5	-28229.4	0.046	0.073	0.660	0.104
27	179	-24905.6	-27624.2	-28448.8	0.005	0.037	0.670	0.079
28	145	-24810.3	-27608.2	-28547.7	0.031	0.030	0.646	0.049
29	108	-24684.1	-27454.6	-28326.6	0.024	0.041	0.664	0.076
30	134	-24744.2	-27588.4	-28489.3	0.051	0.011	0.664	0.068
