Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	121	-25027.0	-27687.2	-28504.7	0.018	0.047	0.666	0.104
2	107	-24593.1	-27411.8	-28279.8	0.026	0.029	0.664	0.066
3	96	-24778.3	-27629.8	-28545.0	0.019	0.052	0.666	0.070
4	102	-24685.0	-27539.5	-28501.3	0.022	0.028	0.653	0.061
5	78	-24927.8	-27631.3	-28455.4	0.022	0.049	0.655	0.102
6	90	-25035.8	-27691.4	-28422.7	0.011	0.044	0.657	0.126
7	115	-25096.9	-27755.3	-28575.7	0.024	0.051	0.663	0.092
8	94	-24414.0	-27372.6	-28412.8	0.014	0.048	0.658	0.124
9	103	-24965.6	-27679.6	-28443.6	0.028	0.020	0.663	0.124
10	118	-24938.6	-27665.9	-28436.0	0.024	0.042	0.665	0.137
11	92	-24760.9	-27583.3	-28420.1	0.030	0.036	0.661	0.084
12	131	-24905.2	-27622.6	-28447.5	0.041	0.042	0.648	0.089
13	117	-24938.9	-27667.3	-28487.5	0.044	0.033	0.652	0.091
14	83	-24853.2	-27603.4	-28484.6	0.036	0.039	0.656	0.084
15	128	-24900.1	-27553.5	-28385.8	0.051	0.034	0.643	0.074
16	111	-24876.9	-27656.3	-28484.9	0.032	0.038	0.655	0.100
17	93	-25009.6	-27861.0	-28656.8	0.051	0.037	0.663	0.114
18	118	-25029.1	-27691.9	-28473.3	0.033	0.021	0.653	0.127
19	88	-24745.6	-27648.7	-28471.8	0.027	0.025	0.666	0.087
20	83	-24768.1	-27592.6	-28448.1	0.032	0.022	0.671	0.087
21	100	-24957.8	-27753.5	-28599.6	0.013	0.057	0.650	0.115
22	95	-24745.7	-27635.0	-28467.1	0.022	0.051	0.660	0.062
23	92	-24902.6	-27667.9	-28533.8	0.025	0.023	0.649	0.069
24	133	-24832.1	-27490.3	-28275.2	0.072	0.028	0.658	0.109
25	119	-24791.1	-27570.0	-28427.4	0.027	0.034	0.659	0.104
26	103	-24674.3	-27403.9	-28225.9	0.052	0.060	0.662	0.118
27	87	-24807.3	-27628.7	-28446.7	0.009	0.041	0.672	0.099
28	104	-24712.2	-27609.8	-28551.9	0.026	0.031	0.646	0.056
29	90	-24652.0	-27455.1	-28325.5	0.027	0.041	0.664	0.079
30	96	-24668.0	-27589.9	-28488.6	0.061	0.038	0.666	0.077
