Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	673	-634741.8	-689961.3	-711155.9	0.016	0.018	0.668	0.106
2	828	-636367.5	-690482.6	-710819.3	0.013	0.016	0.670	0.132
3	657	-633894.2	-689721.6	-710559.3	0.015	0.040	0.667	0.106
4	500	-633806.9	-689767.4	-710329.1	0.032	0.026	0.671	0.117
5	673	-634746.5	-689726.3	-710713.6	0.023	0.021	0.671	0.112
6	631	-635074.5	-690281.6	-710989.8	0.016	0.041	0.670	0.112
7	716	-633861.6	-689355.5	-710760.7	0.014	0.025	0.669	0.084
8	759	-634732.4	-689830.1	-711499.8	0.007	0.017	0.668	0.095
9	758	-633878.6	-689119.8	-710394.2	0.021	0.016	0.668	0.098
10	717	-635602.4	-689503.8	-710550.2	0.020	0.022	0.669	0.115
11	544	-632970.1	-689562.4	-710582.6	0.011	0.023	0.671	0.108
12	455	-631937.2	-689210.4	-710663.8	0.008	0.015	0.671	0.112
13	567	-632575.2	-689229.6	-710521.2	0.009	0.021	0.671	0.107
14	629	-635623.1	-690495.6	-711362.1	0.025	0.031	0.671	0.112
15	565	-631770.0	-689199.8	-710533.3	0.006	0.019	0.669	0.107
16	586	-631511.8	-689286.8	-710666.0	0.010	0.023	0.671	0.098
17	607	-633804.3	-689478.2	-710829.5	0.024	0.021	0.672	0.104
18	716	-633304.7	-689122.5	-710781.4	0.007	0.009	0.669	0.080
19	675	-633312.8	-689640.1	-710895.5	0.010	0.016	0.669	0.108
20	523	-632355.9	-689224.9	-709816.8	0.022	0.007	0.673	0.125
21	610	-633164.2	-689315.4	-710573.4	0.022	0.016	0.670	0.123
22	760	-634496.8	-689943.1	-711164.0	0.015	0.018	0.670	0.105
23	650	-634415.9	-689472.2	-710682.2	0.006	0.016	0.668	0.104
24	610	-635525.4	-690125.4	-710922.9	0.018	0.018	0.670	0.113
25	584	-634169.9	-690108.5	-710993.4	0.019	0.029	0.674	0.111
26	564	-633757.6	-689241.1	-710420.5	0.014	0.028	0.670	0.105
27	738	-635196.3	-689837.4	-710930.3	0.010	0.021	0.668	0.107
28	547	-633105.3	-689610.1	-710753.6	0.023	0.029	0.669	0.096
29	629	-634030.2	-689477.4	-709902.3	0.011	0.019	0.669	0.126
30	563	-636961.6	-691093.7	-711678.0	0.012	0.030	0.673	0.136
