Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	3235	-707963.9	-709519.3	-710801.9	0.060	0.048	0.995	0.834
2	3393	-707710.7	-709243.7	-710438.6	0.058	0.052	0.988	0.834
3	3166	-707555.4	-709111.7	-710324.8	0.058	0.060	0.991	0.834
4	2955	-707223.5	-708786.9	-710050.2	0.067	0.058	0.993	0.834
5	3807	-707534.5	-709089.9	-710326.5	0.060	0.047	0.998	0.834
6	3427	-707967.0	-709511.8	-710740.8	0.065	0.059	0.988	0.834
7	3595	-707575.3	-709128.6	-710397.4	0.065	0.041	0.998	0.834
8	3811	-708197.5	-709782.2	-711082.3	0.068	0.047	0.997	0.834
9	2969	-707282.3	-708861.6	-710091.6	0.061	0.048	0.998	0.834
10	3799	-707549.5	-709025.6	-710358.4	0.059	0.036	0.992	0.833
11	2645	-707379.6	-708904.4	-710176.3	0.068	0.064	0.992	0.834
12	3531	-707392.7	-708910.5	-710176.0	0.065	0.045	0.995	0.834
13	3812	-707336.8	-708882.7	-710146.3	0.047	0.049	0.996	0.834
14	3853	-708134.5	-709668.6	-710917.2	0.065	0.046	0.991	0.834
15	3798	-707367.1	-708979.5	-710225.0	0.069	0.053	0.994	0.834
16	3427	-707504.0	-709020.1	-710288.1	0.060	0.064	0.997	0.834
17	2796	-707728.4	-709250.1	-710483.3	0.058	0.065	0.998	0.834
18	3504	-707521.7	-708999.7	-710254.6	0.059	0.055	0.996	0.834
19	3587	-707594.2	-709113.5	-710434.5	0.059	0.055	0.995	0.834
20	3013	-706606.4	-708164.6	-709379.4	0.060	0.046	0.993	0.834
21	3770	-707470.0	-708986.0	-710257.2	0.063	0.033	0.993	0.834
22	3798	-707941.5	-709485.6	-710777.2	0.059	0.056	0.999	0.834
23	3831	-707546.8	-709108.5	-710299.0	0.065	0.045	0.994	0.834
24	3786	-707762.2	-709264.3	-710513.0	0.052	0.058	0.996	0.834
25	3788	-707933.3	-709497.4	-710746.9	0.073	0.050	0.998	0.834
26	3818	-707366.9	-708884.8	-710146.6	0.062	0.052	0.994	0.834
27	3796	-707734.1	-709270.8	-710556.1	0.058	0.046	0.991	0.834
28	3804	-707760.8	-709267.8	-710476.0	0.068	0.051	0.994	0.834
29	3787	-706787.3	-708395.0	-709643.9	0.056	0.045	0.989	0.834
30	2768	-708577.9	-710112.7	-711261.6	0.067	0.076	0.996	0.834
