Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	74	-2952.4	-3498.3	-3555.1	0.106	0.078	0.777	0.265
2	72	-2896.8	-3488.6	-3568.9	0.071	0.033	0.786	0.248
3	95	-2943.5	-3506.8	-3589.5	0.080	0.104	0.809	0.202
4	55	-2883.4	-3489.5	-3554.9	0.077	0.054	0.785	0.410
5	52	-2863.3	-3477.6	-3557.2	0.071	0.095	0.838	0.320
6	89	-2878.7	-3411.9	-3471.4	0.100	0.177	0.808	0.318
7	66	-2905.2	-3483.7	-3558.4	0.080	0.053	0.781	0.240
8	68	-2933.4	-3497.1	-3563.7	0.082	0.065	0.812	0.260
9	62	-2827.8	-3452.7	-3536.9	0.105	0.088	0.761	0.295
10	64	-2979.0	-3535.9	-3591.1	0.035	0.068	0.748	0.233
11	83	-2916.7	-3440.6	-3499.5	0.075	0.131	0.805	0.240
12	79	-2855.9	-3434.9	-3533.4	0.126	0.117	0.792	0.253
13	60	-2963.6	-3493.8	-3558.2	0.072	0.067	0.791	0.228
14	94	-2871.1	-3449.2	-3541.8	0.059	0.083	0.794	0.273
15	92	-2999.7	-3522.5	-3585.5	0.114	0.120	0.781	0.251
16	73	-2842.8	-3452.6	-3526.9	0.084	0.123	0.844	0.292
17	65	-2825.4	-3460.8	-3561.4	0.154	0.113	0.766	0.294
18	82	-3003.6	-3506.1	-3566.3	0.051	0.058	0.791	0.234
19	82	-2899.0	-3448.5	-3523.9	0.119	0.051	0.807	0.216
20	60	-2956.7	-3528.4	-3580.9	0.052	0.121	0.779	0.322
21	73	-2861.9	-3459.1	-3536.4	0.089	0.023	0.837	0.224
22	72	-2931.6	-3547.2	-3627.4	0.161	0.173	0.831	0.314
23	110	-2981.1	-3490.0	-3541.0	0.090	0.089	0.770	0.257
24	59	-2996.1	-3537.4	-3576.1	0.075	0.112	0.777	0.341
25	80	-2973.0	-3523.5	-3592.8	0.084	0.108	0.825	0.334
26	69	-2956.5	-3527.5	-3591.9	0.102	0.130	0.820	0.300
27	65	-2946.6	-3480.0	-3535.9	0.033	0.119	0.812	0.227
28	70	-2903.2	-3464.2	-3533.4	0.026	0.123	0.805	0.270
29	69	-2907.7	-3476.5	-3553.1	0.037	0.084	0.781	0.258
30	85	-2892.2	-3435.0	-3506.2	0.066	0.101	0.772	0.244
