Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	117	-2990.1	-3497.9	-3554.5	0.108	0.076	0.770	0.289
2	155	-2939.5	-3487.0	-3568.2	0.077	0.038	0.776	0.216
3	168	-2967.7	-3506.7	-3588.5	0.071	0.103	0.802	0.203
4	149	-2930.6	-3487.7	-3552.8	0.074	0.061	0.775	0.387
5	144	-2923.1	-3475.4	-3554.1	0.076	0.094	0.824	0.275
6	138	-2915.9	-3411.3	-3471.0	0.098	0.163	0.802	0.303
7	116	-2942.0	-3482.8	-3557.2	0.073	0.055	0.780	0.236
8	121	-2979.2	-3496.8	-3561.5	0.090	0.062	0.811	0.281
9	104	-2893.8	-3452.3	-3533.9	0.082	0.071	0.755	0.258
10	128	-3054.0	-3532.6	-3588.7	0.037	0.097	0.740	0.226
11	151	-2953.6	-3439.7	-3498.8	0.075	0.118	0.805	0.264
12	131	-2896.7	-3434.5	-3532.3	0.112	0.118	0.784	0.176
13	135	-3010.9	-3491.9	-3557.1	0.069	0.078	0.784	0.234
14	120	-2888.6	-3449.6	-3539.6	0.067	0.064	0.786	0.235
15	107	-3011.6	-3523.0	-3584.4	0.091	0.118	0.781	0.285
16	141	-2888.8	-3451.4	-3527.0	0.078	0.111	0.837	0.277
17	130	-2874.2	-3460.8	-3558.2	0.156	0.117	0.753	0.212
18	132	-3028.1	-3505.7	-3565.7	0.049	0.067	0.789	0.256
19	118	-2948.9	-3447.4	-3522.6	0.126	0.049	0.800	0.193
20	124	-3018.3	-3525.4	-3579.3	0.047	0.123	0.767	0.318
21	100	-2898.6	-3459.8	-3534.5	0.093	0.030	0.834	0.235
22	106	-2978.1	-3547.8	-3625.6	0.141	0.183	0.824	0.287
23	108	-2998.4	-3489.8	-3539.3	0.075	0.085	0.772	0.288
24	115	-3058.8	-3535.1	-3574.0	0.059	0.131	0.769	0.367
25	130	-2989.8	-3522.7	-3592.2	0.081	0.109	0.822	0.357
26	110	-2996.0	-3526.9	-3590.2	0.119	0.122	0.821	0.311
27	119	-3010.9	-3477.5	-3533.2	0.028	0.110	0.802	0.247
28	95	-2955.5	-3464.6	-3529.8	0.008	0.075	0.797	0.300
29	130	-2948.9	-3476.0	-3551.4	0.040	0.080	0.774	0.261
30	110	-2929.8	-3433.8	-3504.9	0.051	0.097	0.764	0.228
