Run	Time	Loglik	Sim. Loglik	Loglik (hyper)	RMSE alpha	RMSE beta	RMSE betaInd	RMSE Omega
1	87	-2983.0	-3499.7	-3553.3	0.102	0.074	0.776	0.317
2	80	-2944.6	-3490.2	-3565.0	0.082	0.032	0.781	0.280
3	91	-2965.7	-3509.1	-3588.1	0.082	0.108	0.810	0.249
4	87	-2923.6	-3489.1	-3552.5	0.079	0.062	0.782	0.415
5	89	-2925.1	-3476.3	-3553.3	0.078	0.106	0.822	0.265
6	115	-2918.5	-3411.8	-3470.4	0.106	0.159	0.800	0.308
7	83	-2929.2	-3485.7	-3556.0	0.078	0.081	0.796	0.300
8	87	-2979.6	-3498.1	-3560.9	0.101	0.057	0.816	0.302
9	92	-2893.6	-3453.2	-3533.1	0.079	0.085	0.759	0.273
10	78	-3035.0	-3535.4	-3588.2	0.017	0.106	0.751	0.266
11	104	-2953.8	-3441.1	-3498.2	0.074	0.112	0.806	0.292
12	87	-2898.5	-3437.8	-3530.3	0.125	0.108	0.783	0.162
13	87	-3001.2	-3493.4	-3556.7	0.069	0.075	0.789	0.258
14	90	-2890.3	-3451.1	-3540.0	0.077	0.053	0.789	0.250
15	99	-3016.6	-3523.5	-3583.3	0.102	0.137	0.781	0.303
16	86	-2888.0	-3454.3	-3524.3	0.070	0.108	0.845	0.328
17	99	-2882.4	-3461.5	-3558.2	0.149	0.111	0.754	0.222
18	71	-3017.7	-3509.2	-3564.1	0.032	0.098	0.801	0.323
19	93	-2948.1	-3449.6	-3521.9	0.123	0.039	0.809	0.215
20	101	-3017.6	-3526.0	-3578.6	0.051	0.137	0.773	0.322
21	109	-2901.1	-3460.2	-3535.4	0.106	0.034	0.833	0.252
22	75	-2980.9	-3549.8	-3624.4	0.147	0.194	0.829	0.285
23	101	-2987.1	-3491.3	-3538.7	0.072	0.081	0.777	0.301
24	69	-3038.4	-3537.4	-3573.4	0.071	0.150	0.778	0.396
25	89	-2980.5	-3524.8	-3591.2	0.082	0.118	0.824	0.371
26	68	-2961.6	-3529.0	-3589.4	0.133	0.124	0.832	0.350
27	83	-3000.7	-3479.9	-3532.5	0.027	0.101	0.808	0.275
28	97	-2943.8	-3464.7	-3530.0	0.020	0.078	0.795	0.291
29	83	-2946.0	-3478.3	-3550.0	0.035	0.094	0.782	0.277
30	84	-2927.2	-3435.7	-3503.4	0.053	0.062	0.770	0.259
